,loss
0,-3.753625
1,-4.256194
2,-4.5087543
3,-4.6683517
4,-4.785436
5,-4.8829207
6,-4.9670067
7,-5.040847
8,-5.106202
9,-5.165296
10,-5.219046
11,-5.268835
12,-5.274222
13,-5.313847
14,-5.35343
15,-5.3906775
16,-5.425887
17,-5.4591045
18,-5.4905033
19,-5.520241
20,-5.5481563
21,-5.574936
22,-5.6005015
23,-5.6272697
24,-5.6538677
25,-5.6806393
26,-5.697678
27,-5.7143073
28,-5.7303824
29,-5.746788
30,-5.763793
31,-5.781593
32,-5.801673
33,-5.8228035
34,-5.844714
35,-5.866729
36,-5.8885674
37,-5.910303
38,-5.9319553
39,-5.9532757
40,-5.974217
41,-5.9947863
42,-6.014997
43,-6.034795
44,-6.054209
45,-6.073314
46,-6.091992
47,-6.11034
48,-6.1283426
49,-6.1460037
50,-6.1633596
51,-6.1804266
52,-6.1971955
53,-6.2137036
54,-6.229911
55,-6.2458572
56,-6.2614107
57,-6.2768645
58,-6.2920103
59,-6.3068595
60,-6.3215823
61,-6.3360953
62,-6.3503895
63,-6.3627768
64,-6.3765583
65,-6.390262
66,-6.4037576
67,-6.417067
68,-6.4300876
69,-6.44308
70,-6.4558187
71,-6.4683504
72,-6.4805636
73,-6.492922
74,-6.505095
75,-6.51714
76,-6.5289516
77,-6.5406876
78,-6.5523076
79,-6.563779
80,-6.572345
81,-6.5834484
82,-6.59451
83,-6.6054516
84,-6.6162834
85,-6.6269937
86,-6.6376014
87,-6.648089
88,-6.6584783
89,-6.668746
90,-6.6789217
91,-6.6889935
92,-6.6989546
93,-6.7080817
94,-6.717835
95,-6.7274847
96,-6.7370567
97,-6.746534
98,-6.7559285
99,-6.7652364
